word,meaning,source_sentence,target_sentence,input_text,target_text
Thóp Thọt,Lọt thỏm Nói chen vào,"Tao học được cái thóp này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái lọt thỏm này từ hồi nhỏ, giờ vẫn nhớ.","Thóp Thọt [SEP] Lọt thỏm Nói chen vào [SEP] Tao học được cái thóp này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái lọt thỏm này từ hồi nhỏ, giờ vẫn nhớ."
Nhờm,"1. Tởm, ghê tởm, muốn nôn.2. Nhàm chán vì lặp đi lặp lại.","Quán xá gì làm ăn thấy bắt nhờm, ai mà dám vô ăn.","Quán xá gì mà làm ăn dơ bẩn phát tởm, ai mà dám vào ăn.","Nhờm [SEP] 1. Tởm, ghê tởm, muốn nôn.2. Nhàm chán vì lặp đi lặp lại. [SEP] Quán xá gì làm ăn thấy bắt nhờm, ai mà dám vô ăn.","Quán xá gì mà làm ăn dơ bẩn phát tởm, ai mà dám vào ăn."
Nhóc ké,"1. Nhóc con (ý coi thường).2. Đầy ắp, đầy căng ra không chứa được nữa.",Tụi bây cho thằng nhỏ ăn cái giống gì mà cái bụng nhóc ké vậy chớ.,"Sự ngạc nhiên khi thấy bụng đứa trẻ ăn quá no, căng phồng lên.","Nhóc ké [SEP] 1. Nhóc con (ý coi thường).2. Đầy ắp, đầy căng ra không chứa được nữa. [SEP] Tụi bây cho thằng nhỏ ăn cái giống gì mà cái bụng nhóc ké vậy chớ.","Sự ngạc nhiên khi thấy bụng đứa trẻ ăn quá no, căng phồng lên."
Bây hây Bầy hầy,"Bứt rứt, uể oải Bẩn thỉu, luộm thuộm",Thanh niên để tóc dài coi bầy hầy lắm,Thanh niên để tóc dài trông lếch thếch lắm,"Bây hây Bầy hầy [SEP] Bứt rứt, uể oải Bẩn thỉu, luộm thuộm [SEP] Thanh niên để tóc dài coi bầy hầy lắm",Thanh niên để tóc dài trông lếch thếch lắm
Ong vú,Loài ong rất nhỏ làm tổ kẽ gỗ bộng cây.,"Ba cái ong vú này, để chúng làm ổ là hư nhà","Mấy con ong này, để chúng làm tổ là hỏng hết gỗ nhà","Ong vú [SEP] Loài ong rất nhỏ làm tổ kẽ gỗ bộng cây. [SEP] Ba cái ong vú này, để chúng làm ổ là hư nhà","Mấy con ong này, để chúng làm tổ là hỏng hết gỗ nhà"
Sượng trân,"Xấu hổ, ngượng đơ người","Thím Bảy sượng trân cả buổi, tao hỏi hoài mà không chịu nói.","Thím Bảy xấu hổ cả buổi, tớ hỏi mãi mà không chịu nói.","Sượng trân [SEP] Xấu hổ, ngượng đơ người [SEP] Thím Bảy sượng trân cả buổi, tao hỏi hoài mà không chịu nói.","Thím Bảy xấu hổ cả buổi, tớ hỏi mãi mà không chịu nói."
Cà nhóng chống xâm lăng,Nhàn rỗi (nói theo cách hài hước),xem bọn này như dân cà nhóng chống xâm lăng,coi bọn này như những kẻ nhàn cư vi bất thiện,Cà nhóng chống xâm lăng [SEP] Nhàn rỗi (nói theo cách hài hước) [SEP] xem bọn này như dân cà nhóng chống xâm lăng,coi bọn này như những kẻ nhàn cư vi bất thiện
Nấn,"Nán lại, nắn thẳng, nong rộng Lưỡng lự nấn ná Nuối tiếc nán lại.",Nấn cái ống này,Nong cái ống này,"Nấn [SEP] Nán lại, nắn thẳng, nong rộng Lưỡng lự nấn ná Nuối tiếc nán lại. [SEP] Nấn cái ống này",Nong cái ống này
Điều,Cây mận trái lớn màu đỏ hoặc cây đào lộn hột,Ăn bánh xèo mà thiếu đọt điều là kể như mất ngon,Ăn bánh xèo mà thiếu lá non của cây mận đỏ là coi như mất vị,Điều [SEP] Cây mận trái lớn màu đỏ hoặc cây đào lộn hột [SEP] Ăn bánh xèo mà thiếu đọt điều là kể như mất ngon,Ăn bánh xèo mà thiếu lá non của cây mận đỏ là coi như mất vị
Chẹt bẹt,Dẹt mà nông (đĩa) Rộng bè bè quá mức,"Lấy cái đĩa chẹt bẹt như vậy làm sao mà đựng, Mua mấy cái ghế chẹt bẹt như thế này","Lấy cái đĩa nông choèn thế thì làm sao mà đựng, Mua mấy cái ghế rộng bè bè ra thế này","Chẹt bẹt [SEP] Dẹt mà nông (đĩa) Rộng bè bè quá mức [SEP] Lấy cái đĩa chẹt bẹt như vậy làm sao mà đựng, Mua mấy cái ghế chẹt bẹt như thế này","Lấy cái đĩa nông choèn thế thì làm sao mà đựng, Mua mấy cái ghế rộng bè bè ra thế này"
Rể điên điển,Con rể tồi,Sợ nhất gặp thằng rể điên điển.,Sợ nhất gặp phải anh con rể tệ bạc.,Rể điên điển [SEP] Con rể tồi [SEP] Sợ nhất gặp thằng rể điên điển.,Sợ nhất gặp phải anh con rể tệ bạc.
Chà Và,Người Mã Lai hoặc người da đen nói chung,có tên đất là Bãi Chà Và được thông dụng,địa danh Bãi Chà Và rất phổ biến trên bản đồ,Chà Và [SEP] Người Mã Lai hoặc người da đen nói chung [SEP] có tên đất là Bãi Chà Và được thông dụng,địa danh Bãi Chà Và rất phổ biến trên bản đồ
Dễ ợt,"Rất dễ, quá dễ","Bài toán dễ ợt, ai làm hồng được mà khoe","Bài toán quá dễ, ai chẳng làm được mà khoe","Dễ ợt [SEP] Rất dễ, quá dễ [SEP] Bài toán dễ ợt, ai làm hồng được mà khoe","Bài toán quá dễ, ai chẳng làm được mà khoe"
Câu rê,"Câu bằng cần dài, quăng mồi xa rồi kéo từ từ để nhử cá lóc","Câu rê rất khó câu, không phải ai câu cũng được","Kiểu câu rê này rất khó, không phải ai cũng làm được","Câu rê [SEP] Câu bằng cần dài, quăng mồi xa rồi kéo từ từ để nhử cá lóc [SEP] Câu rê rất khó câu, không phải ai câu cũng được","Kiểu câu rê này rất khó, không phải ai cũng làm được"
Ve gái,Tán tỉnh phụ nữ,"Hổm rày thằng bạn cứ ve gái hoài, có chuyện gì vậy?","Dạo này bạn nam cứ tán tỉnh phụ nữ mãi, có chuyện gì vậy?","Ve gái [SEP] Tán tỉnh phụ nữ [SEP] Hổm rày thằng bạn cứ ve gái hoài, có chuyện gì vậy?","Dạo này bạn nam cứ tán tỉnh phụ nữ mãi, có chuyện gì vậy?"
Khéo,"2. Hiền ngoan, dễ mến.","Mấy đứa con của ông Ba đứa nào cũng khéo, gặp người lớn biết cúi đầu","Mấy đứa con của ông Ba đứa nào cũng ngoan ngoãn, gặp người lớn biết cúi đầu","Khéo [SEP] 2. Hiền ngoan, dễ mến. [SEP] Mấy đứa con của ông Ba đứa nào cũng khéo, gặp người lớn biết cúi đầu","Mấy đứa con của ông Ba đứa nào cũng ngoan ngoãn, gặp người lớn biết cúi đầu"
Gộc,Hành động bật mạnh bi vào mắt cá chân người thua (trò chơi trẻ con),Bị gộc riết mà mắt cá chân đỏ lòm rồi,Bị bắn bi vào mắt cá chân nhiều quá nên đỏ lựng lên rồi,Gộc [SEP] Hành động bật mạnh bi vào mắt cá chân người thua (trò chơi trẻ con) [SEP] Bị gộc riết mà mắt cá chân đỏ lòm rồi,Bị bắn bi vào mắt cá chân nhiều quá nên đỏ lựng lên rồi
Tù đày rạc,"Bị đày ải, giam cầm","Thằng Tèo giải thích cho tụi nhỏ nghe về tù đày, tụi nhỏ gật gù.","Thằng Tèo giải thích cho bọn nhỏ nghe về bị đày ải, bọn nhỏ gật gù.","Tù đày rạc [SEP] Bị đày ải, giam cầm [SEP] Thằng Tèo giải thích cho tụi nhỏ nghe về tù đày, tụi nhỏ gật gù.","Thằng Tèo giải thích cho bọn nhỏ nghe về bị đày ải, bọn nhỏ gật gù."
Trót lọt,Thành công trơn tru,Mọi chuyện đã xong xuôi trót lọt hết rồi.,Mọi chuyện đã hoàn thành suôn sẻ hết rồi.,Trót lọt [SEP] Thành công trơn tru [SEP] Mọi chuyện đã xong xuôi trót lọt hết rồi.,Mọi chuyện đã hoàn thành suôn sẻ hết rồi.
Gà lôi,Gà tây,Gà lôi đội lốt con công,Gà tây mà lại đòi làm chim công,Gà lôi [SEP] Gà tây [SEP] Gà lôi đội lốt con công,Gà tây mà lại đòi làm chim công
Làm trận (làm thượng),"Ăn vạ, nằm vạ, giả ốm đau để vòi vĩnh.",Con đụng tới em làm chi cho nó làm trận vậy chớ.,Con đụng tới em làm gì để nó lăn ra ăn vạ vậy chứ.,"Làm trận (làm thượng) [SEP] Ăn vạ, nằm vạ, giả ốm đau để vòi vĩnh. [SEP] Con đụng tới em làm chi cho nó làm trận vậy chớ.",Con đụng tới em làm gì để nó lăn ra ăn vạ vậy chứ.
Náng (1),"1. Tập, xấp, đống chồng lên nhau.2. Gang tay (đo chiều cao).3. Chạc cây (náng hai, náng ba).","Cá còn cao chừng hai, ba náng là cùng chớ gì.","Cá còn cao chừng hai, ba gang tay là cùng chứ gì.","Náng (1) [SEP] 1. Tập, xấp, đống chồng lên nhau.2. Gang tay (đo chiều cao).3. Chạc cây (náng hai, náng ba). [SEP] Cá còn cao chừng hai, ba náng là cùng chớ gì.","Cá còn cao chừng hai, ba gang tay là cùng chứ gì."
Ăn chịu,"Ngầm có tình ý với nhau, yêu nhau lén lút",Hai đứa đã ăn chịu với nhau rồi còn cưới hỏi gì nữa,Hai đứa đã yêu nhau lén lút với nhau rồi còn cưới hỏi gì nữa,"Ăn chịu [SEP] Ngầm có tình ý với nhau, yêu nhau lén lút [SEP] Hai đứa đã ăn chịu với nhau rồi còn cưới hỏi gì nữa",Hai đứa đã yêu nhau lén lút với nhau rồi còn cưới hỏi gì nữa
Giỡn mặt,"Đùa nhây, thái độ cợt nhả coi thường người khác.","Thằng đó nó thích giỡn mặt tử thần, chạy xe bạt mạng ngoài đường.","Kẻ đó thích đùa giỡn với tử thần, phóng xe bạt mạng ngoài đường.","Giỡn mặt [SEP] Đùa nhây, thái độ cợt nhả coi thường người khác. [SEP] Thằng đó nó thích giỡn mặt tử thần, chạy xe bạt mạng ngoài đường.","Kẻ đó thích đùa giỡn với tử thần, phóng xe bạt mạng ngoài đường."
Ăn mệt xỉu,(Tương tự Ăn mệt nghỉ nhưng nhấn mạnh hơn) Ăn tha hồ Ăn phát mệt,"Mày về vườn nhà tao, trái cây tao cho mày ăn mệt xỉu luôn","Cậu về vườn nhà tớ, trái cây tớ cho cậu ăn thỏa thuê tùy thích luôn","Ăn mệt xỉu [SEP] (Tương tự Ăn mệt nghỉ nhưng nhấn mạnh hơn) Ăn tha hồ Ăn phát mệt [SEP] Mày về vườn nhà tao, trái cây tao cho mày ăn mệt xỉu luôn","Cậu về vườn nhà tớ, trái cây tớ cho cậu ăn thỏa thuê tùy thích luôn"
Tuốt Tuốt luốt,Mất hết Xa tít,Đồ ăn hết tuốt mà tụi nhỏ vẫn đòi thêm.,Đồ ăn hết mất hết mà bọn nhỏ vẫn đòi thêm.,Tuốt Tuốt luốt [SEP] Mất hết Xa tít [SEP] Đồ ăn hết tuốt mà tụi nhỏ vẫn đòi thêm.,Đồ ăn hết mất hết mà bọn nhỏ vẫn đòi thêm.
Ngon,"Tuyệt vời, ngon lành, vừa ý, dễ dàng, sẵn đà, trôi chảy.",Làm ngon hơ,Làm ngon ơ,"Ngon [SEP] Tuyệt vời, ngon lành, vừa ý, dễ dàng, sẵn đà, trôi chảy. [SEP] Làm ngon hơ",Làm ngon ơ
Từ Từ bi Tử ẻo,Chuyển Cây thuốc Chết,"Chuyện từ này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện chuyển này nghe lạ nhưng thật đó, tớ chứng kiến.","Từ Từ bi Tử ẻo [SEP] Chuyển Cây thuốc Chết [SEP] Chuyện từ này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện chuyển này nghe lạ nhưng thật đó, tớ chứng kiến."
Hỡi ôi (Hồi ôi),"Từ cảm thán than thân trách phận, giãi bày.",Hỡi ôi! Vì đâu mà con tôi ra nông nỗi này?,Trời ơi! Vì đâu mà con tôi ra nông nỗi này?,"Hỡi ôi (Hồi ôi) [SEP] Từ cảm thán than thân trách phận, giãi bày. [SEP] Hỡi ôi! Vì đâu mà con tôi ra nông nỗi này?",Trời ơi! Vì đâu mà con tôi ra nông nỗi này?
Lăn quay,"Lăn quay, ngã lăn",Nó làm gì mà con xô nó ngã lăn quay vậy?,Nó làm gì mà con xô nó ngã lăn quay vậy?,"Lăn quay [SEP] Lăn quay, ngã lăn [SEP] Nó làm gì mà con xô nó ngã lăn quay vậy?",Nó làm gì mà con xô nó ngã lăn quay vậy?
Dân chơi cầu ông Lãnh,"Dân giang hồ, đối tượng hung dữ, liều lĩnh","Mày là dân chơi cầu ông Lãnh, tao cũng hồng có ngán đâu nghen mậy",Anh là dân giang hồ cộm cán thì tôi cũng không sợ đâu nhé,"Dân chơi cầu ông Lãnh [SEP] Dân giang hồ, đối tượng hung dữ, liều lĩnh [SEP] Mày là dân chơi cầu ông Lãnh, tao cũng hồng có ngán đâu nghen mậy",Anh là dân giang hồ cộm cán thì tôi cũng không sợ đâu nhé
Giựt gân,"Có tác dụng kích thích mạnh đến người nghe, người xem (gây sốc).","Mày kể chuyện gì giựt gân xíu coi, trời trưa buồn ngủ quá mạng.","Cậu kể chuyện gì giật gân một chút xem nào, trời trưa buồn ngủ quá đi mất.","Giựt gân [SEP] Có tác dụng kích thích mạnh đến người nghe, người xem (gây sốc). [SEP] Mày kể chuyện gì giựt gân xíu coi, trời trưa buồn ngủ quá mạng.","Cậu kể chuyện gì giật gân một chút xem nào, trời trưa buồn ngủ quá đi mất."
Dọn mình,Sắp chết (nghĩa tôn giáo tâm linh),Ổng đã dọn mình đêm qua rồi,Ông ấy đã chuẩn bị tinh thần ra đi từ đêm qua rồi,Dọn mình [SEP] Sắp chết (nghĩa tôn giáo tâm linh) [SEP] Ổng đã dọn mình đêm qua rồi,Ông ấy đã chuẩn bị tinh thần ra đi từ đêm qua rồi
Đơm nút,"Đơm khuy, đơm cúc áo","Con Năm nó viền, Con Sáu đơm nút","Cô Năm thì viền vải, còn cô Sáu thì đơm khuy","Đơm nút [SEP] Đơm khuy, đơm cúc áo [SEP] Con Năm nó viền, Con Sáu đơm nút","Cô Năm thì viền vải, còn cô Sáu thì đơm khuy"
Ngộ (1),"Lạ, kì, hay hay xinh đẹp, dễ thương.",Nội xứ này không ai ngộ bằng em.,Nội xứ này không ai xinh bằng em.,"Ngộ (1) [SEP] Lạ, kì, hay hay xinh đẹp, dễ thương. [SEP] Nội xứ này không ai ngộ bằng em.",Nội xứ này không ai xinh bằng em.
Láu đáu,"Bồn chồn, áy náy nhốn nháo, lố nhố.",Láu đáu trong lòng,Cồn cào trong dạ,"Láu đáu [SEP] Bồn chồn, áy náy nhốn nháo, lố nhố. [SEP] Láu đáu trong lòng",Cồn cào trong dạ
Ro ró,Ru rú trong nhà,"Hổm rày thằng bạn cứ ro ró hoài, có chuyện gì vậy?","Dạo này bạn nam cứ ru rú trong nhà mãi, có chuyện gì vậy?","Ro ró [SEP] Ru rú trong nhà [SEP] Hổm rày thằng bạn cứ ro ró hoài, có chuyện gì vậy?","Dạo này bạn nam cứ ru rú trong nhà mãi, có chuyện gì vậy?"
Gái Nha Mân,Những cô gái vùng Nha Mân nổi tiếng xinh đẹp,Gái nào bảnh bằng gái Nha Mân,Chẳng có con gái vùng nào xinh đẹp bằng con gái Nha Mân,Gái Nha Mân [SEP] Những cô gái vùng Nha Mân nổi tiếng xinh đẹp [SEP] Gái nào bảnh bằng gái Nha Mân,Chẳng có con gái vùng nào xinh đẹp bằng con gái Nha Mân
Đệ ngũ,Lớp 8 hiện nay (năm thứ 3 trung học đệ nhất cấp cũ),Tía tôi qua đời Năm ấy tôi đang học đệ ngũ,Bố tôi mất năm tôi đang học lớp 8,Đệ ngũ [SEP] Lớp 8 hiện nay (năm thứ 3 trung học đệ nhất cấp cũ) [SEP] Tía tôi qua đời Năm ấy tôi đang học đệ ngũ,Bố tôi mất năm tôi đang học lớp 8
Làm xàm,"Lảm nhảm, nói lải nhải vô nghĩa.",Bả có cái tật hay nói làm xàm vậy chớ không có gì đâu.,Bà ấy có cái tật hay lảm nhảm vậy chứ không có gì đâu.,"Làm xàm [SEP] Lảm nhảm, nói lải nhải vô nghĩa. [SEP] Bả có cái tật hay nói làm xàm vậy chớ không có gì đâu.",Bà ấy có cái tật hay lảm nhảm vậy chứ không có gì đâu.
Tâm hơ tâm hất,"Lơ đễnh, không chú ý","Tao học được cái tâm hơ tâm hất này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái lơ đễnh này từ hồi nhỏ, giờ vẫn nhớ.","Tâm hơ tâm hất [SEP] Lơ đễnh, không chú ý [SEP] Tao học được cái tâm hơ tâm hất này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái lơ đễnh này từ hồi nhỏ, giờ vẫn nhớ."
Lậy,"Lạy, van lạy lạy lục van xin nhục nhã.",Con lậy xin lỗi má con,Con lạy xin lỗi mẹ con,"Lậy [SEP] Lạy, van lạy lạy lục van xin nhục nhã. [SEP] Con lậy xin lỗi má con",Con lạy xin lỗi mẹ con
Sang đàng,"Nói lạc đề, nói năng vớ vẩn",Bỗng dưng thèm sang đàng mà hổng biết kiếm đâu.,Bỗng dưng thèm nói lạc đề mà không biết tìm đâu.,"Sang đàng [SEP] Nói lạc đề, nói năng vớ vẩn [SEP] Bỗng dưng thèm sang đàng mà hổng biết kiếm đâu.",Bỗng dưng thèm nói lạc đề mà không biết tìm đâu.
Mắc (3),"Gây ra cảm giác (mắc cười, mắc cỡ, mắc ghét).",Nhìn cái kiểu cách nó là tui thấy mắc ghét rồi.,Nhìn cái kiểu cách nó là tôi thấy đáng ghét rồi.,"Mắc (3) [SEP] Gây ra cảm giác (mắc cười, mắc cỡ, mắc ghét). [SEP] Nhìn cái kiểu cách nó là tui thấy mắc ghét rồi.",Nhìn cái kiểu cách nó là tôi thấy đáng ghét rồi.
Ga ăn ti,"Sự vận hành máy nổ ở tình trạng thấp, ban đầu (từ garantie - P)","Để ga ăn ti là được rồi, cần chi phải lên ga cho tốn xăng","Để chế độ chờ (ga thấp) là được rồi, cần gì phải nhấn ga cho tốn xăng","Ga ăn ti [SEP] Sự vận hành máy nổ ở tình trạng thấp, ban đầu (từ garantie - P) [SEP] Để ga ăn ti là được rồi, cần chi phải lên ga cho tốn xăng","Để chế độ chờ (ga thấp) là được rồi, cần gì phải nhấn ga cho tốn xăng"
Tử ẻo,Chết ngoẻo (mỉa mai),Con chuột bị bẫy đè tử ẻo rồi.,Con chuột bị bẫy đè chết thẳng cẳng rồi.,Tử ẻo [SEP] Chết ngoẻo (mỉa mai) [SEP] Con chuột bị bẫy đè tử ẻo rồi.,Con chuột bị bẫy đè chết thẳng cẳng rồi.
Ương (cây),Ươm mầm,Ăn xoài nhớ lấy hột mà ương.,Ăn xoài nhớ lấy hạt mà ươm.,Ương (cây) [SEP] Ươm mầm [SEP] Ăn xoài nhớ lấy hột mà ương.,Ăn xoài nhớ lấy hạt mà ươm.
Lác rác,"Lác đác, rải rác, lưa thưa.","Xóm này nhà lác rác, chắc là ít dân hơn bên xóm tôi.","Xóm này nhà lác đác, chắc là ít dân hơn bên xóm tôi.","Lác rác [SEP] Lác đác, rải rác, lưa thưa. [SEP] Xóm này nhà lác rác, chắc là ít dân hơn bên xóm tôi.","Xóm này nhà lác đác, chắc là ít dân hơn bên xóm tôi."
Có cựa,"Có năng lực trình độ, có bản lĩnh (như gà chọi có cựa)","Tay này cũng có cựa lắm, chớ không phải tay ngang đâu, anh đừng khinh thường mà thua người ta đó","Người này cũng là dân sành sỏi có bản lĩnh đấy, chứ không phải tay mơ nghiệp dư đâu, anh đừng có chủ quan khinh thường mà nhận phần thua bẽ mặt","Có cựa [SEP] Có năng lực trình độ, có bản lĩnh (như gà chọi có cựa) [SEP] Tay này cũng có cựa lắm, chớ không phải tay ngang đâu, anh đừng khinh thường mà thua người ta đó","Người này cũng là dân sành sỏi có bản lĩnh đấy, chứ không phải tay mơ nghiệp dư đâu, anh đừng có chủ quan khinh thường mà nhận phần thua bẽ mặt"
Gôm,"Cục tẩy, hòn tẩy dùng bôi vết mực bút chì",Cho tôi mượn cục gôm để tôi bôi mấy vết mực,Cho tớ mượn cục tẩy để tớ xóa mấy vết mực này với,"Gôm [SEP] Cục tẩy, hòn tẩy dùng bôi vết mực bút chì [SEP] Cho tôi mượn cục gôm để tôi bôi mấy vết mực",Cho tớ mượn cục tẩy để tớ xóa mấy vết mực này với
Tấm chắn,Bức trướng thêu,Tấm chắn này thêu rồng đẹp thiệt.,Bức trướng này thêu rồng đẹp thật.,Tấm chắn [SEP] Bức trướng thêu [SEP] Tấm chắn này thêu rồng đẹp thiệt.,Bức trướng này thêu rồng đẹp thật.
Lúp (lúp ba ga,"Tha hồ, thả cửa, không giới hạn, thỏa mãn (líp ba ga).",Cho mấy đứa nhỏ chơi lúp luôn,Cho mấy đứa nhỏ chơi xả láng luôn,"Lúp (lúp ba ga [SEP] Tha hồ, thả cửa, không giới hạn, thỏa mãn (líp ba ga). [SEP] Cho mấy đứa nhỏ chơi lúp luôn",Cho mấy đứa nhỏ chơi xả láng luôn
Tríu Trịu,Đeo bám Nặng trĩu,Cành cam trái chín nhìn trịu luôn.,Cành cam quả chín trông nặng trĩu.,Tríu Trịu [SEP] Đeo bám Nặng trĩu [SEP] Cành cam trái chín nhìn trịu luôn.,Cành cam quả chín trông nặng trĩu.
Mồng,Mào gà (trống) hoa mào gà bệnh mào gà phần mào nhỏ mào dẹp to.,bịnh mồng gà,bệnh mào gà,Mồng [SEP] Mào gà (trống) hoa mào gà bệnh mào gà phần mào nhỏ mào dẹp to. [SEP] bịnh mồng gà,bệnh mào gà
Hẵng Hả,Hãy (Chỉ thứ tự),Đợi trời bớt chuyển mưa rồi hẵng xách xe ra đường.,Đợi trời bớt giông mây đi rồi hãy lấy xe ra đường.,Hẵng Hả [SEP] Hãy (Chỉ thứ tự) [SEP] Đợi trời bớt chuyển mưa rồi hẵng xách xe ra đường.,Đợi trời bớt giông mây đi rồi hãy lấy xe ra đường.
Làm chùa (mọi),Làm công quả làm không công (làm mọi).,Một tháng hai ba ngày ổng làm chùa cho dân nghèo.,Một tháng hai ba ngày ông ấy làm từ thiện cho dân nghèo.,Làm chùa (mọi) [SEP] Làm công quả làm không công (làm mọi). [SEP] Một tháng hai ba ngày ổng làm chùa cho dân nghèo.,Một tháng hai ba ngày ông ấy làm từ thiện cho dân nghèo.
Từ,Ý nghĩa,Ví dụ,Ví dụ tiếng phổ thông,Từ [SEP] Ý nghĩa [SEP] Ví dụ,Ví dụ tiếng phổ thông
Lần xàn,"1. Lần thần, chậm chạp, kém linh hoạt.2. Lưỡng lự, không dứt khoát, do dự.",Mấy ngày nay trong người nó lần xàn như muốn bịnh vậy đó.,Mấy ngày nay trong người nó mệt mỏi/chậm chạp như muốn ốm vậy đó.,"Lần xàn [SEP] 1. Lần thần, chậm chạp, kém linh hoạt.2. Lưỡng lự, không dứt khoát, do dự. [SEP] Mấy ngày nay trong người nó lần xàn như muốn bịnh vậy đó.",Mấy ngày nay trong người nó mệt mỏi/chậm chạp như muốn ốm vậy đó.
Giựt mình,Giật nảy người do tác động đột ngột hoặc ngỡ ngàng vì điều chưa lưu tâm,"Sấm sét nổ lên, ai nấy giựt mình",Sét đánh một cái làm ai nấy đều giật mình,"Giựt mình [SEP] Giật nảy người do tác động đột ngột hoặc ngỡ ngàng vì điều chưa lưu tâm [SEP] Sấm sét nổ lên, ai nấy giựt mình",Sét đánh một cái làm ai nấy đều giật mình
Chửi lộn,"Cãi cọ, chửi nhau qua lại bằng lời lẽ hằn học","Hai chị em bây mà chửi lộn nhau, thiên hạ người ta cười thêm chớ có ích gì đâu","Hai chị em các cô mà cứ cãi vã chửi bới nhau, thiên hạ người ta chê cười chứ có ích lợi gì đâu","Chửi lộn [SEP] Cãi cọ, chửi nhau qua lại bằng lời lẽ hằn học [SEP] Hai chị em bây mà chửi lộn nhau, thiên hạ người ta cười thêm chớ có ích gì đâu","Hai chị em các cô mà cứ cãi vã chửi bới nhau, thiên hạ người ta chê cười chứ có ích lợi gì đâu"
Đuôi rùa,Phần tóc dài ra và nhọn ở giữa sau gáy,"Mấy người có tóc đuôi rùa, nghe nói sẽ có nhiều em lắm",Những người để tóc đuôi rùa nghe nói đào hoa lắm,"Đuôi rùa [SEP] Phần tóc dài ra và nhọn ở giữa sau gáy [SEP] Mấy người có tóc đuôi rùa, nghe nói sẽ có nhiều em lắm",Những người để tóc đuôi rùa nghe nói đào hoa lắm
Xiềng,Chắc chắn 100,Vụ này thắng là cái xiềng.,Vụ này thắng là cái chắc.,Xiềng [SEP] Chắc chắn 100 [SEP] Vụ này thắng là cái xiềng.,Vụ này thắng là cái chắc.
Sanh (người),"Sinh viên, học sinh Hoặc sinh đẻ","Anh Ba hay nói tới chuyện sanh hoài, tao quen tai rồi.","Anh Ba hay nói tới chuyện sinh viên mãi, tớ quen tai rồi.","Sanh (người) [SEP] Sinh viên, học sinh Hoặc sinh đẻ [SEP] Anh Ba hay nói tới chuyện sanh hoài, tao quen tai rồi.","Anh Ba hay nói tới chuyện sinh viên mãi, tớ quen tai rồi."
Cụp (2),"Hay, tuyệt, lôi cuốn sự chú ý theo dõi",Đang hát cụp quá mà trời lại vẫn vũ kéo mây và trong giây lát mưa nhều hột lâm ram,Đang hát đoạn cao trào hấp dẫn quá mà trời lại kéo mây vần vũ và mưa lâm râm,"Cụp (2) [SEP] Hay, tuyệt, lôi cuốn sự chú ý theo dõi [SEP] Đang hát cụp quá mà trời lại vẫn vũ kéo mây và trong giây lát mưa nhều hột lâm ram",Đang hát đoạn cao trào hấp dẫn quá mà trời lại kéo mây vần vũ và mưa lâm râm
Quá lứ,"Quá lắm, khó chấp nhận",Chuyện này thiệt là quá lứ mà.,Chuyện này thật là quá quắt mà.,"Quá lứ [SEP] Quá lắm, khó chấp nhận [SEP] Chuyện này thiệt là quá lứ mà.",Chuyện này thật là quá quắt mà.
Mướt mát,"1. (Thực vật) Tươi mượt, xanh tốt và bóng mượt.","Mấy vườn cây ở cù lao này đủ đất, đủ nước trông mướt mát thật.","Mấy vườn cây ở cù lao này đủ đất, đủ nước trông xanh tốt mượt mà thật.","Mướt mát [SEP] 1. (Thực vật) Tươi mượt, xanh tốt và bóng mượt. [SEP] Mấy vườn cây ở cù lao này đủ đất, đủ nước trông mướt mát thật.","Mấy vườn cây ở cù lao này đủ đất, đủ nước trông xanh tốt mượt mà thật."
Cong quéo,"Cong ngoặt lại, vênh méo co rút lại","Ba cái đồ phơi nắng, cong quéo hết trơn rồi, lấy vô đi để hư hết bây giờ","Mấy đồ nhựa phơi nắng vênh cong queo hết cả rồi, lấy vào đi kẻo hỏng hết bây giờ","Cong quéo [SEP] Cong ngoặt lại, vênh méo co rút lại [SEP] Ba cái đồ phơi nắng, cong quéo hết trơn rồi, lấy vô đi để hư hết bây giờ","Mấy đồ nhựa phơi nắng vênh cong queo hết cả rồi, lấy vào đi kẻo hỏng hết bây giờ"
Khô queo,"Khô khốc, cạn kiệt nước, cháy khô.","Tháng này, ao mương gì cũng khô queo.","Tháng này, ao mương gì cũng cạn trơ đáy.","Khô queo [SEP] Khô khốc, cạn kiệt nước, cháy khô. [SEP] Tháng này, ao mương gì cũng khô queo.","Tháng này, ao mương gì cũng cạn trơ đáy."
Rọng,Nhốt cá dưới nước,"Hổm rày tụi nó cứ rọng hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ nhốt cá dưới nước mãi, có chuyện gì vậy?","Rọng [SEP] Nhốt cá dưới nước [SEP] Hổm rày tụi nó cứ rọng hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ nhốt cá dưới nước mãi, có chuyện gì vậy?"
