source_sentence,target_sentence
"Xác cháu bé khi nước giựt xuống, cha mẹ sẽ đem chôn cất tử tế.","Khi nước rút xuống, cha mẹ sẽ đem chôn xác cháu bé tử tế."
Người ta xếp mấy trái ngon lên mặt giỏ nhìn bắt mắt lắm.,Họ đặt các quả ngon ở trên cùng để tạo cảm giác hấp dẫn.
"Hổm rày thằng bạn cứ úp bộ hoài, có chuyện gì vậy?","Dạo này bạn nam cứ vây bắt bất ngờ mãi, có chuyện gì vậy?"
Cái tánh xấc xược với sếp nên bị đuổi là phải rồi.,Vì thái độ thiếu tôn trọng sếp nên anh ta bị sa thải.
Canh cho vừa miệng rồi hẵng tắt lửa.,Điều chỉnh gia vị vừa ăn rồi mới tắt bếp.
Đi đứng ngoài lộ ban đêm coi chừng gặp cái bọn núp lùm là khổ dữ thần đó nghen mậy.,Đi lại ngoài đường ban đêm coi chừng gặp cái bọn nấp trong bụi cây là khổ kinh khủng đó nhé bạn.
"Mèn đét ơi, bọn ăn cướp cạn đó cậy đông ùa vào lấy hết trơn mớ khoai của tui rồi.","Trời đất ơi, bọn lợi dụng số đông cướp giật đó cậy đông ùa vào lấy hết cả mớ khoai của tôi rồi."
Kiếm nồi canh xiêm nấu ăn cho đỡ nóng trong người.,Hãy nấu canh chua bắp chuối để giúp cơ thể dễ chịu hơn.
Dân Chợ Lớn gốc Hoa làm ăn mua bán quen tay lắm nghen.,Người Hoa tại Chợ Lớn vốn rất thành thạo nghề buôn bán.
"Nếu em còn ngại, qua thề lại cho em hết nan phân nghe hôn em.","Nếu em còn ngại, anh thề lại cho em hết phân vân nghe chưa em."
Tao đá động sơ sơ vậy chớ chắc có người nóng ruột rồi đó.,Tôi chỉ nhắc khéo một chút nhưng có lẽ đã khiến ai đó bất an.
"Chú Ba hay nói tới chuyện xe căm nhông hoài, tao quen tai rồi.","Chú Ba hay nói tới chuyện xe tải chở lính mãi, tớ quen tai rồi."
Con cái cắp ca cắp củm vầy là ba má vui lắm đó con.,Con cái chắt chiu dành dụm thế này là bố mẹ vui lắm đấy con.
Mày đút tay vô cá ông tượng nó cắn,Mày đút tay vào cá tai tượng nó cắn
"Chuyện thiếu điều như vậy, bà con biết hết trơn.",Dạng việc gần như xảy ra đó ai cũng đã từng biết đến.
"Cuốc đất mệt quá, mới làm chút xíu đã thở không ra hơi.","Công việc cuốc đất quá nặng nhọc, mới làm một lúc mà tôi đã thở không nổi rồi."
"Tay chéo mép vầy là hổng làm được gì đâu, tui biết mà.","Tay bẻm mép thế này là không làm được gì đâu, tôi biết mà."
Lâu nay nằm ụ vầy hay sao mà hổng thấy bóng dáng ông đâu hết trơn?,Lâu nay ru rú trong nhà thế này hay sao mà không thấy bóng dáng anh đâu hết trơn?
Đi mưa về mình mẩy ướt dầm.,Đi mưa về người ngợm ướt sũng.
"Đồ chơi ngoài chợ bán rẻ rề, mua một bụm tiền ít xỉu.","Đồ chơi ngoài chợ bán rẻ không, mua một vốc tiền ít xíu."
Chiên chả giò Cầu Tre vầy là tui ăn hoài hổng chán.,Rán nem cuốn Cầu Tre thế này là tôi ăn mãi không chán.
"Tính toán làm ăn kiểu mày vầy, tao cũng hết biết nói sao cho vừa.","Cách cậu tính toán làm ăn như thế này, tôi cũng bó tay cạn lời."
"Cái túi chứ lứ như vậy, còn chỗ đâu mà nhét nữa","Cái túi đã căng phồng lên như vậy rồi, làm gì còn chỗ nào mà nhét thêm nữa"
"M ráng kèm lòng đi, đôi co với tụi xỉn rượu mệt xác thêm.","Cậu cố dằn lòng đi, đôi co với tụi say rượu mệt người thêm."
Nó tắm gì mà run cay cảy vầy mà vẫn chưa chịu lên bờ nữa.,Nó tắm kiểu gì mà run cầm cập thế này vẫn không chịu lên bờ nữa.
"Nhà ổng tuốt ngoài vàm, đi xa thấy mồ luôn.",Nhà ông ấy nằm rất xa ở phía ngoài vàm.
Thấy cái tác cao to vầy chắc là dân chơi thể thao rồi.,Thấy tầm vóc cao to thế này chắc là dân chơi thể thao rồi.
Bả ở nhà mình ên nên đêm hôm cũng hơi sợ.,Bà ấy ở nhà một mình nên đêm hôm cũng hơi sợ.
"Làm chảnh cái gì, mới ra thành có mấy tháng mà bày đặt vầy à?","Kiêu kì cái gì, mới ra phố có mấy tháng mà bày đặt thế à?"
Con lấy miếng vải dày bít như vậy mẹ lược cặn làm sao được,Con lấy miếng vải dày thế này mẹ lọc cặn làm sao được
Chị tính mua bình thủy giữ nóng hay loại giữ lạnh vậy?,Chị muốn mua bình giữ nước nóng hay bình giữ nước lạnh?
"Ở dưới quê người ta hay quê một cục lắm, trên này ít hơn.","Ở dưới quê người ta hay rất quê mùa lắm, trên này ít hơn."
Nghe tin bả té xe là tui bỏ dãi chạy vô nhà thương liền.,Nghe tin bà ấy ngã xe là tôi bỏ dở công việc chạy vào bệnh viện ngay.
"Đừng có cạy cái mày đó nghen, lát chảy máu bây giờ.","Đừng bóc lớp vảy ấy, kẻo sẽ bị chảy máu."
Ai ăn cuối cùng phải vét sòng sạch sẽ.,Ai ăn sau cùng phải dọn sạch bát đĩa.
"Tụi nhỏ đằng kia láo cháo hoài, nhức đầu quá.",Lũ trẻ phía bên kia cứ ồn ào liên tục.
Mẹ tui khoái làm ếch xào lá cách nước cốt dừa đãi cả nhà cuối tuần.,Mẹ tôi thích làm món thịt ếch xào cùng lá cách và nước cốt dừa đãi cả nhà cuối tuần.
Đụng tới nó chi để giờ nó làm mình làm mẩy dữ thần.,Tại sao cậu lại trêu chọc để nó phản ứng dữ dội như vậy?
Mấy năm nay làm ăn lập dập quá anh ơi,Mấy năm nay làm ăn lẹt đẹt quá anh ơi
Bả có gia đình rồi mà nhí nha nhí nhảnh dữ thần.,"Mặc dù đã có chồng, cô ấy vẫn giữ tính cách hồn nhiên như trẻ nhỏ."
Bụi đỏ nó mắm vào đồ,Bụi đỏ nó bám vào quần áo
Cái tên ở nhà đó ai trong xóm cũng rành hết trơn.,Biệt danh ở nhà đó đã quá quen thuộc với mọi người nơi đây.
"Con Lan hay nói tới chuyện xe thổ mộ hoài, tao quen tai rồi.","Con Lan hay nói tới chuyện xe ngựa có mui mãi, tớ quen tai rồi."
"Con khoát nước làm ướt hết đồ em rồi, tui mắng cho bây giờ.","Con vẩy nước làm ướt hết đồ của em rồi, tôi mắng cho bây giờ."
"Thôi đừng có xem mấy bộ phim mì ăn liền ráo trọi hết trơn vầy nghe hôn khứa nhỏ, chán chết.","Thôi đừng có xem mấy bộ phim mì ăn liền toàn bộ hết cả thế này nghe chưa cậu bé, chán chết."
"nó học hụt hưởi, không lợi đám bạn nó.","nó học đuối sức, không theo kịp các bạn."
"Làm vậy hoài, không sợ ông Tư cà nanh hả?","Cứ làm như vậy, không sợ ông Tư ganh ghét à?"
"Cứ xí xọn rồi ăn nói vô doan ráo trọi chuyện chòm xóm hoài nghe hôn, người ta ghét chết trơn á.","Cứ điệu đà nhí nhố rồi ăn nói vô duyên toàn bộ chuyện xóm giềng mãi nghe chưa, người ta ghét hết cả đấy."
Tụi bây thấy nó sải chân chạy không? Nhanh thiệt chứ.,Bọn bây thấy nó bước dài chạy không? Nhanh thật chứ.
"Ở dưới quê người ta hay xài bống lắm, trên này ít hơn.","Ở dưới quê người ta hay tiêu tiền vô ích để khoe lắm, trên này ít hơn."
Món đồ này... góc cạnh lì câm hết rồi.,Món đồ này... góc cạnh mòn nhẵn hết rồi.
Làm gì mà cãi nhau um sùm vậy?,Làm gì mà cãi nhau ầm ĩ thế?
"Khứa đó cứ quanh qua quẩn lại, giữ đồ kỹ vô nghen.",Người đó cứ đi tới đi lui nên cần chú ý bảo quản tài sản.
Đi loạng quạng coi chừng té,Đi loạng choạng coi chừng ngã
Con lân cũng gọi là con kỳ lân Nguyên kỳ là tên của con đực còn lân là tên của con cái,"Múa sư tử, múa kỳ lân"
Chuyện trớt quớt vậy đọc chi cho mệt.,Đọc những chuyện vô nghĩa đó chẳng có ích gì.
"Má hay nói tới chuyện quậy nát nước hoài, tao quen tai rồi.","Má hay nói tới chuyện gây rối khắp nơi mãi, tớ quen tai rồi."
Góp nhặt bao năm trời mới có được nhà ngói đàng hoàng.,Sau nhiều năm dành dụm mới sở hữu được ngôi nhà ngói này.
"Hụt chân vầy té nhào là đau dữ lắm, ông có sao hông?","Hụt chân thế này ngã nhào là đau dữ lắm, anh có sao không?"
"Mèn đét ơi, ai chọc phá gì mà con nhỏ ngồi khóc lưởi thưởi tội nghiệp hết trơn vậy nè.","Trời đất ơi, ai trêu chọc gì mà con bé ngồi khóc nức nở tội nghiệp hết cả thế này."
Hắn là dân anh chị có số má trong vùng đó nghen.,Hắn là một người có thế lực trong giới giang hồ.
Đánh bài một hồi trất túi luôn.,Đánh bài một lúc trắng tay luôn.
"Đừng nói nhiều, giỏi thì một chọi một luôn nghen.","Đừng tranh cãi nữa, hãy đối đầu trực tiếp để phân thắng bại."
"Đánh ghen đầu hẻm, cả xóm ra coi.","Đánh ghen đầu ngõ, cả xóm ra xem."
"Đi đứng lóng nhỏng rồi cạ vào đồ đạc trong cũi chén ráo trọi mần bể nát, coi trớt quớt nghe hôn.","Đi lại lêu lổng rồi đụng trúng đồ đạc trong chạn toàn bộ làm vỡ nát, trông vớ vẩn nghe chưa."
Lạnh buốt chưn vầy là khổ thiệt luôn đó.,Lạnh buốt chân thế này là khổ thật luôn đó.
Tánh nó thiệt thà chất phác nên bà con ai cũng thương.,Nó sống chân thật và chất phác nên được mọi người yêu quý.
Tụi nhỏ cùng cỡ tuổi nên gặp là nói chuyện rôm rả hà.,Do xấp xỉ tuổi nhau nên chúng rất hợp để làm bạn.
"Tôi bao giá cho chị, chị đi đâu thấp hơn tôi bồi thường","Tôi bao giá cho chị, chị đi đâu thấp hơn tôi bồi thường"
"Ở dưới quê người ta hay vô sáu câu lắm, trên này ít hơn.","Ở dưới quê người ta hay tán tỉnh hoặc ca cổ lắm, trên này ít hơn."
Ông chủ tay xách cây ba ton gù,Ông chủ tay xách cây ba-toong gù
Tháo bộ cốt chén giữa mà không có đồ cảo là coi như hút gió.,Tháo bộ trục giữa mà không có kìm tháo thì coi như bó tay.
"Trái dừa khô này dùng làm nước cốt dừa, béo thôi rồi luôn.","Quả dừa khô này dùng làm nước cốt dừa, béo ngậy vô cùng."
Hễ chỗ nào đánh bạc là dễ gặp mấy tay nghiện ngập hà.,Các tụ điểm cờ bạc thường có nhiều người nghiện lui tới.
"Viết trật lất vầy là do con mắt bù lạch đó, đi khám đi mày.","Chép sai bét thế này là do con mắt kèm nhèm đó, đi khám đi cậu."
Chiều chiều ra bờ sông hóng gió cho đầu óc thơ thới.,Chiều chiều ra bờ sông hóng gió cho đầu óc thư thái dễ chịu.
"Dân dưới quê khoái vếch râu dữ lắm nghen, trên này không bằng.",Người dưới quê hay tỏ thái độ tự mãn hơn so với nơi này.
Sáng nào ăn xong ổng cũng mang cơm nhồi ra ruộng,Sáng nào ăn xong ông ấy cũng mang nắm cơm ra đồng trưa ăn
Vì ông này có bịnh hút nên hình vóc gầy mòn,Vì ông này nghiện hút nên hình vóc gầy mòn
"Ở vùng Trà Vinh, Châu Đốc có rất nhiều cây kè.",(Tên gọi loài thực vật giữ nguyên).
"Vợ... thức dậy kêu chồng không lên tiếng, thắp đèn đi kiếm","Vợ... tỉnh dậy gọi chồng không lên tiếng, thắp đèn đi tìm"
"Niền chặt tay vô nghe hôn, đi xa rung lắc dữ lắm.",Hãy buộc chặt lại vì quãng đường xa dễ làm đồ bị xê dịch.
"Kiểu rau rút này bà con ở đây thấy hoài, lạ lẫm gì đâu.",Loại rau này rất quen thuộc với mọi người ở đây.
Nói tới mức sùi bọt mép mà vẫn hổng thôi.,Nói đến mức sùi cả bọt mép mà không dừng.
Tụi nhỏ nghịch nước dính sình tèm lem hết cả người.,Bọn trẻ nghịch nước dính bùn be bét hết cả người.
Tôi phải chích mấy mũi bi hoả tiễn mới qua được cơn nguy khốn,Tôi phải tiêm mấy mũi pê-ni-xi-lin liều cao mới qua được cơn nguy kịch
Mấy cây này tui trồng hà lãng hà.,Mấy cây này tôi trồng thả tự do thôi.
"Khứa đó suốt ngày ôm chai rượu, say tới say lui hoài.",Người đó thường xuyên uống rượu và liên tục say xỉn.
"Nó đá vô bẹ sườn thằng nhỏ, thằng nhỏ không khóc sao đặng","Nó đá vào mạn sườn thằng bé, thằng bé không khóc sao được"
"Không uống năm mươi nữa, lần này chơi nhỏng đít luôn.","Lời thách thức uống cạn 100% ly rượu, dốc ngược đáy ly lên trên."
"Thằng Hai mần việc nhanh nhẹn, mọi thứ xong ngọt ngay.","Thằng Hai làm việc nhanh nhẹn, mọi thứ xong êm ru luôn."
"Lầu hai chớ ít gì đâu, cao rồi đó mậy.",Ở lầu hai thì rõ ràng đã ở trên cao rồi.
Đồ đạc gì mà nó vụt loạn xạ trong nhà.,Đồ đạc gì mà nó vứt lung tung trong nhà.
Có chuột chết trong kẹt tủ thúi ình rồi kìa,Có con chuột chết trong kẹt tủ mùi thối um lên rồi kìa
Mệt quá nằm sải tay sải chân luôn.,Mệt quá nằm duỗi thẳng tay chân luôn.
Tụi nó rình rỏi ngoài vuông tôm đặng bắt trộm kìa chú Tư.,Chúng nó theo dõi mật phục ngoài ao nuôi tôm để bắt trộm kìa chú Tư.
"Cỡ tụi em thì nể anh sát đất, nhận anh làm đại ca luôn.","Với tư cách của anh, bọn em rất kính trọng và xem anh là đại ca."
Tiền kiếm được vụ này coi như tao với mày chia đôi nghen.,Khoản tiền thu được lần này chúng ta mỗi người nhận một nửa nhé.
"Mặt mũi non choẹt hà, giao việc lớn sao yên tâm được.",Vẻ ngoài quá non trẻ khiến người khác khó đặt niềm tin.
"Mày mặc đồ vầy trông bà bóng quá, sửa lại đi con.","Cậu mặc đồ thế này trông lòe loẹt quá, sửa lại đi con."
Lội sông tắm mát thì ở truồng chớ bận đồ chi cho ướt nhẹp.,Lội sông tắm mát thì không mặc quần áo chứ mặc đồ làm gì cho ướt sũng.
Thấy nó rút con dao ra là người nào người nấy cũng nhốm gáy rồi.,Thấy nó rút dao ra là ai nấy đều rợn tóc gáy.
Ổng làm một hơi tới bến vậy mà còn chịu nổi hay thiệt.,Ông ấy làm liên tục như vậy mà vẫn chịu được thật đáng nể.
Tui coi phim chưởng hoài thấy cũng hơi chán rồi.,Tôi xem phim chưởng mãi thấy cũng hơi chán rồi.
Con nhỏ đó quậy quá trời quá đất.,Cô bé đó nghịch kinh khủng khiếp.
"Giải tán đám đông vầy là cần thiết lắm, nguy hiểm ghê.","Giải tán đám đông thế này là cần thiết lắm, nguy hiểm ghê."
"Cái áo này may bằng vải gì mà dòm nhẹ hoe vậy chị Hai, mặc có mát hông?","Chiếc áo này may bằng loại vải gì mà nhìn cực kỳ nhẹ vậy chị Hai, mặc có mát không?"
Mấy con gà kêu ổ nó nhảy lung tung quá,Mấy con gà sắp đẻ nó cứ nhảy nhót khắp nơi
Ra sau vườn hái mớ rau om vô đây giùm mẹ.,Ra sau vườn hái mớ rau ngổ vào đây giùm mẹ.
"Làm ăn hổm rày bèo nhèo dữ lắm, lời lãi chẳng bao nhiêu.",Tình hình làm ăn thời gian qua không mấy khả quan.
Đi loàng quàng từ nãy tới giờ,Đi loanh quanh từ nãy tới giờ
Mày vô cái cửa hàng dao lam đó chi rồi kêu trời,Mày vào cái cửa hàng chặt chém đó làm gì rồi lại kêu trời
Con gái con lứa gì mà ở bầy hầy thấy ghê quá.,Con gái con lứa gì mà ở luộm thuộm thấy sợ quá.
"Ba cái khoai lang oi nước như vầy, bỏ đi","Mấy củ khoai lang bị úng nước thế này, vứt đi thôi"
"Thằng đó nó tính hay câu mâu lắm, tụi bây đừng thèm chơi với nó.","Thằng đó tính hay xét nét bắt bẻ lắm, tụi bây đừng thèm chơi với nó."
Chẳng đã nên ta phải thế này,Do hoàn cảnh ép buộc cực chẳng đã nên tôi mới đành phải cư xử thế này
Hai đứa đã ăn chịu với nhau rồi còn cưới hỏi gì nữa,Hai đứa đã yêu nhau lén lút với nhau rồi còn cưới hỏi gì nữa
Tép bạc nướng muối ớt là hết sẩy.,Tép trắng nướng muối ớt là nhất.
"Thằng Út giải thích cho tụi nhỏ nghe về tệ hơn vợ thằng đậu, tụi nhỏ gật gù.","Thằng Út giải thích cho bọn nhỏ nghe về vụng về hết thuốc chữa, bọn nhỏ gật gù."
"Khứa đó có của cải bao nhiêu đâu, bày đặt nổi bật chi hổng biết.",Người đó không giàu hơn ai nhưng lúc nào cũng muốn gây chú ý.
Đợi trời dịu mưa chút rồi hẵng dắt xe đi nghen.,Hãy chờ mưa giảm bớt rồi mới mang xe ra đường.
"Không ưng thì nói thẳng mặt ra, mắc mớ gì cứ nói bóng nói gió nói móc họng nhau chi.","Không ưng thì nói thẳng mặt ra, việc gì cứ nói bóng nói gió xỉa xói nhau làm gì."
"Cái thằng đó làm biếng chảy thây, đụng chuyện gì cũng trốn.","Cái thằng đó lười thối thây, đụng chuyện gì cũng trốn."
Ngày trước gia đình công chức nào họ cũng mướn con ở để phụ việc nhà,Ngày xưa gia đình quan chức nào cũng thuê người giúp việc để làm việc nhà
Nhá thử cho tao coi,Hé thử cho tao xem
"Mèn đét ơi, khứa đó ăn mặc đẹp đẽ rồi đi ễn ngực ra vẻ làm phách dữ ác luôn kìa.","Trời đất ơi, anh đó ăn mặc đẹp đẽ rồi đi ưỡn ngực ra vẻ ta đây kinh khủng luôn kìa."
"Mèn đét ơi, lâu quá hông chơi bi da, nay tui với anh vô làm một ván ăn tiền nước đi chớ.","Trời đất ơi, lâu quá không chơi bi-a, hôm nay tôi với anh vào làm một ván ăn tiền nước đi chứ."
Thằng nhỏ ăn uống được nên mấy năm nay nó nhổ giò cao nhòng.,Đứa bé ăn uống được nên mấy năm nay nó phát triển chiều cao vượt trội.
"Thằng chả làm trớt quớt hà, có ra ngô ra khoai gì đâu.",Anh ta làm việc cẩu thả nên chẳng nên chuyện gì cả.
Vứt cho mấy con gà nắm thóc đi con.,Vứt cho mấy con gà một nắm thóc đi con.
Việc sềnh sềnh ra đó mà còn chối.,Việc rành rành ra đó mà còn chối.
"Tới giờ này tui còn phân vân dữ lắm, chưa biết tính sao.","Đến bây giờ tôi vẫn còn do dự, chưa quyết định được."
"Xài cầu tiêu hầm riết hổng ổn đâu, nên bỏ thôi.",Việc sử dụng nhà vệ sinh xả xuống ao cá không còn phù hợp nữa.
"Ổng hay nói xạo cho vui thôi, chuyện này làm gì có thật mà tin.","Ông ấy hay nói dối cho vui thôi, chuyện này làm gì có thật mà tin."
Tui bật ngửa luôn khi biết nó làm chủ cái xưởng lớn.,Tôi ngã ngửa luôn khi biết cậu ấy làm chủ cái xưởng lớn.
Nhờ khẩu cạc bin mà tụi tui bảo vệ được xóm làng.,Nhờ khẩu súng các-bin mà bọn tôi bảo vệ được xóm làng.
"Ông thấy cái cây nầy cao chưa kìa, ghê thiệt.","Anh thấy cái cây này cao chưa kìa, ghê thật."
Cái thân cao lệu nghệu mà đứng trước,Cái thân cao lêu nghêu mà đứng trước
Dạo này nó quấn quýt với con Én bên đầu rạch hoài à.,Gần đây nó thường xuyên qua lại với cô Én ở đầu kênh.
"Lấy xe đi bụi Vũng Tàu đổi gió cho đỡ buồn đi tụi bây, rủ nhau đi liền nghe.","Lấy xe đi phượt Vũng Tàu đổi gió cho đỡ buồn đi các bạn, rủ nhau đi ngay nhé."
Ăn mạnh mạnh lên đi. Mồi màng còn nhiều lắm.,Ăn mạnh mạnh lên đi. Đồ nhắm còn nhiều lắm.
Rang mặn tép chì ăn với cơm nóng thì bắt cơm lắm.,Rang mặn loại tép nhỏ này ăn với cơm nóng thì rất đưa cơm.
Đồ đạc để lùm đùm thế kia,Đồ đạc để đùm đề thế kia
"Tui chạy mút hơi mà hổng kịp, ông đi lẹ quá.","Tôi chạy bở hơi tai mà không kịp, anh đi nhanh quá."
"Ghi chép tùm lum tùm la, chữ nghĩa dính chùm ai coi ra.",Cách ghi chép lộn xộn như thế khiến người khác không thể đọc được.
Tụi bây thấy thối thần không? Tao thấy từ hồi nãy rồi.,Các bạn thấy đau đớn dữ dội không? Tớ thấy từ nãy rồi.
"Tao học được cái tính cục mịch này từ lúc nhỏ, tới giờ vẫn không đổi.","Tôi học được tính cách thô kệch này từ lúc nhỏ, đến nay vẫn chưa thay đổi."
"Cái kiểu úp giá đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu làm giá đỗ đó quen lắm rồi, ai ở đây cũng biết."
"Nhốt con cu mồi trong cái lụp cẩn thận nghe hôn mậy, sẩy một cái là nó bay mất tiêu trớt quớt ráo trọi.","Nhốt con cu mồi trong cái lồng sập cẩn thận nghe chưa bạn, sẩy một cái là nó bay mất tăm hỏng bét toàn bộ."
"Ăn uống cho hết, đừng có thói bỏ bứa bậy bạ nghe con.","Ăn uống cho hết, đừng có thói dở dang bậy bạ nghe con."
"Tay bị rắn cắn phải cột lại liền chớ, để nọc chạy sao được.",Khi bị rắn cắn ở tay cần xử lý ngay để hạn chế nọc độc lan ra.
Đẽo cái chỗ nu này đi,Đẽo cái mắt gỗ này đi
"Thằng này ngang tàng thiệt mậy, em phải cất cho nó một trận mới chịu kính nể anh hai.","Cậu này ngang tàng thật bạn, em phải đánh cho nó một trận mới chịu kính nể anh hai."
"Cái thằng đó nghèo xơ xác mà cũng bày đặt làm phách chó, dòm thấy ghét hết trơn mậy.","Cái thằng đó nghèo xơ xác mà cũng bày đặt vác mặt lên ta đây, nhìn thấy ghét hết cả bạn."
Đi xem mắt cho thằng con trai.,Đi xem mặt cho cậu con trai.
Cái thằng đó nhìn mặt lớ ngớ quá.,Cái thằng này trông nó lớ ngớ làm sao.
Cái này phải hàn gió đá mới được.,Đồ này phải dùng hàn hơi mới được.
Mẹ con lúc thúc có gì ăn nấy,Mẹ con lúi húi có gì ăn nấy
Con gà này bị máng cựa rồi,Con gà này bị dính cựa rồi
"Bả quay chuồn chuồn suốt ngày, coi bộ có việc gấp lắm.","Bà ấy liên tục xoay xở rất nhanh, có vẻ đang bận việc."
Chuyện chung tiền chung vốn phải minh bạch mới được.,Việc hợp tác góp vốn cần minh bạch và rõ ràng.
Ngoại mới gởi cho hũ đường thẻ để nấu chè đậu xanh.,Ngoại mới gửi cho hũ đường miếng để nấu chè đậu xanh.
"Tụi tui quê mùa, có gì sai sót nhờ mấy ông nhắc nhở.","Bọn tôi quê mùa, có gì sai sót nhờ các ông nhắc nhở."
"Vô sâu chỗ này nhớ ngó trước sau, hòn lố nhiều dữ lắm.",Khi đi sâu vào khu vực này nên chú ý vì có nhiều đá ngầm.
Nghe tiếng bước chân lội lũm bũm dưới sình ngoài ruộng.,Nghe tiếng bước chân lội bì bõm dưới bùn ngoài ruộng.
"Tao học được cái vúc va vúc vắc này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái đung đưa này từ hồi nhỏ, giờ vẫn nhớ."
"Dân anh chị thì kệ mày, tao hổng ngán à.",Cho dù anh là người có máu mặt thì tôi vẫn không sợ.
"Trà quạu này ngon ghê, uống vô là thấy khỏe hẳn.","Trà đặc này ngon ghê, uống vào là thấy khỏe hẳn."
Chỗ bùn lệt sệt đó kệ nó vậy đi mậy.,Hãy để nguyên khu vực bùn nhão đó như hiện tại.
Ảnh nói dối chuyện học cua vầy là tui biết thừa rồi.,Anh ấy nói dối chuyện học thêm thế này là tôi biết thừa rồi.
"Nói phải quấy vừa thôi, quá hớp là dễ có chuyện à.",Nêu ý kiến cần giữ mức độ phù hợp để tránh gây mâu thuẫn.
Cái vú chéng này mua ở đâu đẹp vậy?,Cái áo lót này mua ở đâu đẹp thế?
Thấy tụi nó ôm nhau sát rạt mà rầu giùm luôn.,Nhìn hai người đó ôm ấp nhau khiến tôi thấy chán ngán.
Ông nhà bà xỉn quắc cần câu luôn rồi.,Ông nhà bà say khướt luôn rồi.
Cặp gà ri này rặt nòi nuôi đặng lấy trứng là đúng bài.,Cặp gà giống nhỏ này thuần chủng nuôi để lấy trứng là đúng kiểu.
"Đừng có đi xi cà que ráo trọi hết trơn kiểu đó nghe hôn khứa nhỏ, lo nghỉ ngơi cho lành chưn.","Đừng có đi què chân toàn bộ hết cả kiểu đó nghe chưa cậu bé, lo nghỉ ngơi cho lành chân."
"Bà Chín nhắc chuyện đầu rìu hoài, nghe phát ngán.","Bà Chín hay nói tới chuyện đầu rìu mãi, tớ quen tai rồi."
"Trời đất, ăn suốt ngày ráo trọi luôn hả?","Trời ơi, sao lại ăn liên tục cả ngày như vậy?"
Cái đèn bên kia cứ chớp tắt liên hồi thấy mồ.,Chiếc đèn ở phía xa cứ nhấp nháy liên tục.
"Trời ơi, cá bữa nay đầy ghe hết trơn.",Hôm nay lượng cá nhiều đến mức chất đầy thuyền.
"Ăn mau lên rồi dong nghe, chậm chút nữa mưa đổ là kẹt à.","Ăn nhanh rồi đi ngay, nếu không trời mưa sẽ khó về."
"Ngồi chữ ngũ trông kì lắm, coi lại đi mậy.","Ngồi vắt chéo chân trông kỳ lắm, xem lại đi nhé."
"Chuyện có thế ở nhà làm được rồi, mướn mủn chi cho thêm tốn kém.","Chuyện có thế ở nhà làm được rồi, thuê mướn làm gì cho thêm tốn kém."
Bàn chưn con lấm lem vậy mà con leo lên giường,Bàn chân con lấm lem vậy mà con trèo lên giường
Ba cái váy này quen thuộc với tao từ hồi nhỏ tới giờ.,Tôi đã biết thao tác này từ bé và vẫn chưa quên.
Đôi giày này tui mang vừa in luôn.,Đôi giày này tôi đi vừa khít luôn.
"Mày, đừng có giao cho nó, giao cho nó khác nào gởi trứng cho ác rồi","cậu, đừng có giao cho nó, giao cho nó khác nào giao cho người không đáng tin cậy rồi"
Chị trồng bầu trên giàn là bầu ve hay bầu ngựa thế chị?,Giàn bầu chị trồng là giống bầu eo hay bầu dài thế chị?
Công an đang xét nhà đằng kia.,Công an đang khám nhà đằng kia.
Làm việc quá sức vầy có ngày ngủm củ tỏi sớm.,Làm việc quá sức thế này có ngày chết sớm thôi.
Cuồn dây điện này nặng thiệt,Cuộn dây cáp điện này nặng thật đấy
"Đụng trận này, bọn địch thua tơi tả",Gặp phải trận này quân địch thua tan tác
"Tụi nó liều mạng quá trời hổm rày, coi bộ có chuyện lớn.","Thời gian gần đây họ rất liều lĩnh, có vẻ đang xảy ra việc gì đó."
Cứ thấy nước sôi tiêm là tui biết dưới đó có ổ cá bự.,Cứ thấy nước sủi tăm là tôi biết dưới đó có ổ cá to.
Thấy nó cầm trái lựu đạn là ai nấy cũng lạnh giò rồi.,Thấy nó cầm quả lựu đạn là ai nấy cũng sợ run chân rồi.
"Đi cập nập quá, sáng nay tôi cũng chưa kịp báo cho vợ con.","Đi gấp gáp quá, sáng nay tôi cũng chưa kịp báo cho vợ con."
Thằng út nhìn rôm trai quá.,Cậu út trông đẹp mã quá.
Có chuyện chi buồn phiền mà sao anh cứ thẫn thờ hoài vậy qua?,Có chuyện gì buồn phiền mà sao anh cứ thẫn thờ mãi vậy anh?
"Mèn đét ơi, khứa đó bị bả đì cho sói đầu ráo trọi mấy tháng nay, nhìn tội nghiệp dữ thần.","Trời đất ơi, anh đó bị bà ấy hành hạ cho khốn khổ toàn bộ mấy tháng nay, nhìn tội nghiệp kinh khủng."
Cuối cùng thì nó cũng bị xộ khám.,Cuối cùng thì nó cũng bị vào tù.
"Nghe tin là nó quýp liền, không nói được câu nào.","Nghe tin là nó cụp xuống ngay, không nói được câu nào."
"Muỗi bay lợn cợn, vướng vít dưới chân cây cối tối. (SN)","Muỗi bay loạn xạ li ti, vướng víu dưới gốc cây tối."
Tui lườm nó mà nó cứ đứng đó.,Tôi lườm nó mà nó cứ đứng đó.
Mấy thằng ranh con đó.,Mấy cái thằng ranh con đó.
